id;message;has_sales_period
1;7265642047726173732d726f6f747320656d756c6174696f6e;76853
2;65796562616c6c73;81933
3;7072696d617279204d6f62696c6974792073796e74686573697a65;5191
4;636f6d7072657373696e67;93807
5;436f6e73756c74616e74204672657368;61327
6;6c6176656e646572206c6f676973746963616c207265626f6f74;97766
7;506572736f6e616c204c6f616e204163636f756e74206261636b696e6720757020496e647573747269616c;3663
8;4175746f204c6f616e204163636f756e7420656d6272616365;88975
9;646566696e6974696f6e20736f6c7574696f6e73;52790
10;7363616c61626c65;90849
