id;offense_character_id;offense_team_id;defense_character_id;defense_team_id;cutin_type;chapter_1_text;chapter_1_sound_event;chapter_2_text;chapter_2_sound_event
1;14319;62607;55794;41579;18494;48616e646d61646520537465656c204361722063616c63756c6174696e6720416c61736b61;696e766f69636520626c7565;5370656369616c697374204175746f204c6f616e204163636f756e742050616e7473;4175746f204c6f616e204163636f756e7420676c6f62616c20496e7465726e616c
2;78099;15073;24330;27883;94879;737469636b79;52656475636564204c656164;47726f7570;436f6c6f6d62696120496e7465726e616c
3;99769;70289;75338;8674;97079;776972656c657373;48616e646d6164652053656e696f7220696e646578;7769746864726177616c20646f742d636f6d;66726f6e742d656e64
4;78346;93350;97473;3498;58452;526f61647320566572736174696c6520696e766f696365;73796e74686573697a6520416e6775696c6c61206379616e;656e7465727072697365207265626f6f74;626c7565746f6f7468206d61726f6f6e20486f6d65204c6f616e204163636f756e74
5;33217;4019;920;76189;20022;436f74746f6e;476f7267656f757320636f6d7072657373696e672056616e75617475;7768697465626f6172642053706f7274732062692d646972656374696f6e616c;6465706f736974
6;57513;7748;3089;59325;20142;657865637574697665;504349;4175746f6d6f74697665204c696265726961;656d706f776572
7;75038;91047;7317;50281;8947;7061796d656e74;696e6469676f20556e6272616e646564;70726f64756374697a65;6669726577616c6c206d6f62696c65
8;98091;83108;93162;91173;73691;42616874;61747469747564652d6f7269656e7465642073616c6d6f6e;416c6162616d612055736162696c69747920706c6174666f726d73;67656e65726174696e6720636c69656e742d64726976656e206469737472696275746564
9;21675;54011;58551;49390;34809;6465706f736974204865616c7468;436865636b696e67204163636f756e74;737570706c792d636861696e73207072696d617279;7768697465206c6f63616c2061726561206e6574776f726b2064656c6976657261626c6573
10;59393;28882;86334;40900;15916;4d757369632042726f6f6b73;546f77656c73204175746f204c6f616e204163636f756e74;6469676974616c;706c75672d616e642d706c6179
