id;kickoff;penalty_kick;match_interval;out_of_play;foul;goal;score;jhi_time
1;25787;99556;9422;60224;31518;97894;87518;36508
2;34716;45802;56189;75236;43338;79270;45891;23303
3;96957;92980;29615;86742;62732;1820;42006;12856
4;6114;49609;48933;46095;81334;70839;9875;8971
5;6959;64485;15363;61636;76440;23361;72399;54239
6;56501;22220;46822;14692;88832;57313;76669;97747
7;81194;23693;81326;35533;64271;25657;45801;26645
8;86467;40419;92600;70185;2380;3880;5155;95712
9;95874;4627;27716;88125;87336;89437;38879;52448
10;11910;13699;8044;56514;15650;62863;24989;85775
