id;name;thumbnail_asset;sound_event;description
1;4469766973696f6e207769746864726177616c20636f6e6e656374;636f7079204c65616420536d616c6c204772616e6974652042616c6c;537269204c616e6b61205275706565;5853532076616c75652d6164646564204d657472696373
2;7461736b2d666f7263652073796e74686573697a696e67;4572676f6e6f6d6963;646973696e7465726d656469617465;42696b652041766f6e20556e696f6e
3;4469766973696f6e204a6577656c65727920636170616369746f72;504349;4d657773;7365787920696e637562617465
4;53747265616d2054656e6765;4a6170616e204c696169736f6e2047656e65726963204772616e69746520436865657365;6465706f736974204e6577204d657869636f20456e74657270726973652d77696465;4654502073796e65726779
5;7061796d656e74;53686f6573;6e617669676174696e67;6261636b2d656e642050616c6175
6;7175616e746966792054756e61;737570706f72742046726f7a656e;696e766f69636520456e67696e656572204d617373616368757365747473;426f726465727320426f757665742049736c616e642028426f757665746f796129
7;696e7465677261746520526f616473;48616e646d616465204772616e69746520536f617020636f7079696e672045787072657373776179;72696368;46757475726520696e646578206e6963686573
8;7265626f6f74;5065727520465450206d61676e65746963;46726f7a656e20486174;576f6f64656e
9;53686f6573;4572676f6e6f6d6963204772616e6974652054756e61;436f6e73756c74616e7420504349;41646d696e6973747261746f72
10;484444;526566696e6564;506572736f6e616c204c6f616e204163636f756e7420437265617469766520434f4d;426f7264657273206f766572726964696e67205265736561726368
