id;name;rarity;effect_value_min;effect_value_max;trigger_probability_min;trigger_probability_max;effect_id;effect_value_min_2;effect_value_max_2;trigger_probability_min_2;trigger_probability_max_2;effect_id_2;description;mpassiveeffectrange_id
1;6465706f736974204f7267616e697a6564;39485;79817;68330;78661;89179;36450;31554;98876;21548;59385;59369;526566696e6564204d6574616c204669736820446f627261;4
2;43656e7472616c;50218;86182;64576;50403;20957;68345;41734;58793;86241;84235;21293;696e637562617465;4
3;436869636b656e;28971;73196;23277;4283;92359;67579;74107;41469;31610;12409;76333;456c656374726f6e6963732049726171;3
4;536f667420504e47;19934;60702;82239;2268;41322;93102;1429;68623;73253;3419;59635;737469636b79206c6f676973746963616c2050726163746963616c2046726f7a656e205461626c65;5
5;50726163746963616c205344442076616c75652d6164646564;20360;92053;28093;68443;56457;46789;7405;9285;48175;79074;89574;626c7565;4
6;6f7263686573747261746520416c6162616d61;91925;42311;39453;13721;6915;16051;34795;7691;19008;20509;65177;4a6577656c65727920686575726973746963204c6965636874656e737465696e;3
7;4261687261696e;11471;25756;94280;54389;29090;73955;92300;60500;32583;39212;78184;5365616d6c657373;7
8;706f6c69637920426f7264657273;67381;73866;58888;90728;57628;92102;6568;53510;24907;51150;57183;4175746f6d6f74697665;3
9;43726f73732d706c6174666f726d204d616e6461746f7279;53560;12705;58196;50253;90899;56127;38603;33775;92657;7165;65195;466f7277617264207472616e736d697474696e672049726171692044696e6172;4
10;4d756c74692d7469657265642044697665727365205265736561726368;95857;34505;72483;13755;88379;99826;91899;4918;51155;44114;62905;652d7461696c65727320696e7465726661636573;1
