id;rarity;name;max_level
1;43165;6d6f7261746f7269756d206170706c69636174696f6e73204d6f6e6579204d61726b6574204163636f756e74;99980
2;88835;6f766572726964652070616e656c;34654
3;4234;4e657720596f726b205376616c626172642026204a616e204d6179656e2049736c616e64732067726579;69532
4;14565;646174616261736520486f6c6c6f772059656d656e;51080
5;37426;70726f6772616d204472697665;79334
6;31605;534d54502054657861732057617368696e67746f6e;47806
7;57998;44697374726962757465642064656c69766572;75830
8;99717;466c6f7269646120536d616c6c20536f667420436869636b656e;39647
9;25107;43616d6272696467657368697265;74674
10;19797;53656e696f72206368616e6e656c73;74279
