id;set_id;jhi_number;name;image_path;description;stage_unlock_pattern;special_reward_content_type;special_reward_content_id;is_enable_coop;is_hide_do_not_having_ticket
1;90037;6517;4f7263686573747261746f72;7265766f6c7574696f6e697a65205370656369616c697374;6465706f73697420436f6f7264696e61746f72;87674;65383;16036;7608;54748
2;60360;34853;6170706c69636174696f6e7320726f627573742072696368;436170652056657264652045736375646f20486174;636c69656e742d64726976656e;28898;83817;73874;2163;2959
3;23314;38094;696e7465726661636573204275636b696e6768616d736869726520446f627261;496e74656c6c6967656e742046726573682053616c616420566973696f6e617279;426162792043686164;34170;97623;27698;48815;33570
4;5764;63887;706c756d20496e7465726e6174696f6e616c204d6f756e7461696e;73796e74686573697a696e67;436f6d707574657273;43185;46964;35530;7660;33820
5;70590;33707;436f6d707574657273204368616972;6d6174726978;546f6f6c7320546f77656c73204d616e61676572;62825;62219;45066;1213;7876
6;48864;66966;46726f7a656e204963656c616e64204b726f6e61;67656e657261746520536176696e6773204163636f756e7420576562;426564666f726473686972652054696d6f722d4c65737465;47810;4924;67374;13638;57194
7;8240;98699;6261636b696e672075702073797374656d69632073797374656d;4a6577656c657279;436f6e637265746520506c617a61;79060;67935;28011;48752;83711
8;4051;64415;67656e6572617465206d6f64656c73;6f766572726964696e67206d6167656e746120534d53;4c656164;71316;84339;58446;94182;90252
9;65555;82913;706f7274;49736c65;6465706f73697420536f7574682041667269636120656e636f64696e67;14442;80858;55299;92027;28591
10;42749;23300;656e67696e65657220686170746963;446f6d696e6963616e205065736f20436865636b696e67204163636f756e74;43616d6272696467657368697265;79436;19577;65281;93228;23214
