id;world_id;jhi_number;start_at;name;kickoff_description;image_path;character_thumbnail_path;difficulty;stage_unlock_pattern;story_only;first_half_npc_deck_id;first_half_environment_id;second_half_npc_deck_id;second_half_environment_id;extra_first_half_npc_deck_id;consume_ap;ticket_id;ticket_amount;kick_off_type;match_minute;enable_extra;enable_pk;ai_level;start_at_second_half;start_score;start_score_opponent;condition_id;option_id;deck_condition_id;short_name;mtimeattackquestworld_id
1;25057;43670;73388;636c69656e742d64726976656e20696e7465726e657420736f6c7574696f6e206672616d65;52756262657220556e6272616e6465642052756262657220476c6f76657320436c6f7468696e67;6e61766967617465;46616e74617374696320436f74746f6e2053686f6573;13036;35568;34987;32211;79115;68641;62636;21586;44540;70939;9183;93504;61914;56519;16370;61143;7658;6893;66399;86447;91205;28544;436865636b696e67204163636f756e74204167656e74;6
2;6697;72470;86751;73747265616d6c696e6520696d7061637466756c;496e647573747269616c20426f6e64204d61726b65747320556e697473204575726f7065616e20436f6d706f7369746520556e69742028455552434f29;5472616365;546f77656c73204275636b696e6768616d7368697265204175746f204c6f616e204163636f756e74;45754;3449;34076;32575;46781;95932;31141;94933;43812;1122;35891;20144;56620;99377;23792;49282;98865;57286;50086;16642;19416;89433;53796e657267697374696320726564;3
3;67955;91962;54796;436865657365206e617669676174696e6720756269717569746f7573;6e657572616c;696e766f69636520526567696f6e616c207061796d656e74;496e7465726e616c20617578696c696172792052686f64652049736c616e64;7621;61370;65272;6950;52655;50857;18418;8245;88225;73594;34324;54650;38747;95357;67240;18313;48879;60603;8928;21158;38744;61406;6d6963726f63686970;8
4;717;81507;18131;617263686974656374757265204772656e61646120496e7465726e6174696f6e616c;4275636b696e6768616d73686972652067726579;696e64657820496e766573746d656e74204163636f756e74;6469676974616c20652d7461696c657273;2645;62094;5806;42605;85624;88938;96060;23484;68840;7307;36436;58934;93860;88605;66280;36473;84433;64771;76585;23141;37913;55847;6469676974616c2053514c;2
5;77812;35637;89397;6472697665722052657374;41757374726961;656e67696e656572;6d697373696f6e2d637269746963616c2053757065727669736f72;81637;98972;70798;36393;6134;84809;90431;53496;79005;13043;22902;79756;39224;70982;26863;52743;98441;51455;85419;8747;93022;65584;43656e7472616c20496e74656c6c6967656e7420636f6d706f73697465;10
6;15168;28434;54664;476c6f62616c20506c616e6e6572;696e666f6d6564696172696573;436865636b696e67204163636f756e74;63616c63756c617465206e61766967617465;67072;94448;64363;70544;24371;75420;2234;24242;80871;16858;49113;39434;30683;76667;10193;93879;6272;42732;34886;77415;80473;47040;746572746961727920636170616369746f7220736f6c6964207374617465;3
7;52722;30516;21941;6469676974616c20617a757265;496461686f;426564666f72647368697265;4d61726b6574696e67;73816;45317;73440;87390;7249;57055;89529;87833;44373;19587;65971;16697;95968;57557;10001;46332;48227;66017;4961;79462;49954;75130;496e746572616374696f6e73;4
8;39849;20638;63387;52414d205370656369616c697374;74757271756f697365206f7074696d697a65;426f6f6b73;6465706f73697420496e766573746d656e74204163636f756e74;70835;360;66038;61522;11429;42541;29107;12702;12952;29636;84297;56966;74690;65671;20152;46233;34130;80395;96661;11244;59415;8454;476f7267656f7573204772616e6974652042696b65206170706c69636174696f6e204d6574616c;7
9;68097;47694;55263;4f6b6c61686f6d6120616c61726d206c6f63616c;466163696c697461746f72205370656369616c697374;4b656e7961204c6562616e65736520506f756e64;636f6e74656e742049737261656c20737461746963;92678;80550;49023;73107;84200;46322;47530;32393;71829;60873;33688;87622;62480;88377;49837;10849;36711;42835;88155;46472;11271;97761;436170652056657264652045736375646f206578706c6f6974;1
10;25346;56538;63343;50697a7a61;7265626f6f74204472697665;696e766f69636520626c61636b;4f7074696d697a656420496e7472616e6574;80924;60251;82062;64013;19519;27176;14329;40136;2602;3731;23704;76875;77419;83709;24003;19923;72910;20144;25190;4203;39529;97038;6f70656e2d736f757263652064796e616d696320426564666f72647368697265;3
