id;stage_id;exp;coin;guild_point;clear_reward_group_id;clear_reward_weight_id;achievement_reward_group_id;coop_group_id;special_reward_group_id;special_reward_amount;goal_reward_group_id
1;10962;59724;48989;71730;37869;44736;69488;87359;81759;51702;54424
2;14425;3219;62229;61892;46223;5539;93567;61635;39189;68502;40286
3;19776;65077;81934;52698;91108;37444;81308;98977;30510;30218;58664
4;27752;91481;86442;32066;337;82002;20125;947;59044;364;16245
5;75971;98580;76144;46419;78897;59736;93002;16037;11790;28937;23198
6;61462;90372;54955;17723;78436;68222;26923;53046;65354;8319;29097
7;28526;58675;52037;60503;85235;12183;70753;54863;62188;1193;49603
8;50121;29868;69752;11924;7283;40907;93871;2851;45875;21105;93841
9;43248;10739;41860;94990;4429;10919;58906;46149;54968;93799;7810
10;23270;94316;3478;9938;79311;85483;59588;30;51392;88228;3434
