id;set_id;jhi_number;name;image_path;background_image_path;description;stage_unlock_pattern;arousal_banner;special_reward_content_type;special_reward_content_id;is_enable_coop
1;1971;65323;50616e7473204d6f62696c6974792059656e;496e74656c6c6967656e7420536f66742053616c616420417765736f6d652046726f7a656e2050697a7a6120476f7267656f7573204772616e69746520436865657365;4d6172796c616e6420496e74656c6c6967656e7420436f74746f6e2043686565736520436865657365;526567696f6e616c2067726f77;50625;66726f6e742d656e6420417373696d696c61746564;75103;75068;33965
2;94918;42814;6c65766572616765206669726577616c6c;6665656420537269204c616e6b61205275706565204175746f204c6f616e204163636f756e74;696e766f696365;706172746e65727368697073;22146;50726163746963616c;41671;82585;61797
3;31308;66537;496e746572616374696f6e732050697a7a61;7061796d656e7420686575726973746963204672657368;426f6c697669616e6f204d76646f6c;74616e6769626c65204e6f72776179;6400;4672657368205461626c65207061796d656e74;61578;74468;55076
4;45394;25050;6472697665;496e74656c6c6967656e74204d6574616c2053616c6164;4469726563746f72206465706f73697420467574757265;416c61736b61204d657472696373;51228;4d6574616c;62778;25283;73284
5;39198;39328;73797374656d206461746162617365;7669727475616c20656e642d746f2d656e64204163636f756e746162696c697479;4b656e796120636f686573697665204372656174697665;42696b65206f726368696420757365722d63656e74726963;88034;436f6e6372657465204d6574616c20426f7264657273;27641;82084;56872
6;17813;45163;7765622d72656164696e657373204d6574616c2046726f7a656e;53616c616420636f726520436f6c6f7261646f;496e6372656469626c65205275626265722054756e61206369726375697420696e6e6f76617465;6d6f6e69746f72206d61747269782053656e696f72;27732;626c7565;36422;86799;65015
7;79258;86167;537465656c206f70656e2d736f75726365;6d617472696365732052686f64652049736c616e64204469676974697a6564;46697368;696e697469617469766520466f726765204d6574616c;80254;4e657720596f726b204e6174696f6e616c204265726b7368697265;94142;75226;89186
8;6750;57645;4170706c69636174696f6e73;4d6f6e6579204d61726b6574204163636f756e74;496e6372656469626c652052756262657220436861697220647269766572;626f74746f6d2d6c696e65204a657273657920466c6f72696461;49402;706c6174666f726d7320547269706c652d6275666665726564;40069;23063;13875
9;29140;11525;6875622053757065727669736f7220696e6974696174697665;46616e7461737469632041646d696e6973747261746f7220536f757468204361726f6c696e61;417765736f6d65;5461737479;79989;4c6561642048545450;34175;90724;32576
10;87336;3508;6465706f73697420536f7574682047656f7267696120616e642074686520536f7574682053616e64776963682049736c616e6473;737570706f727420696e697469617469766573;47617264656e2047656e6572696320436f6e63726574652053616c6164204a6577656c657279;656e766973696f6e65657220636c69656e742d736572766572;28551;737469636b79204275636b696e6768616d736869726520616374696f6e2d6974656d73;13300;51182;16345
