id;priority;title;description;image_asset_name;color_type;is_tips;start_at;end_at
1;36813;476f7267656f757320506c61737469632053686f6573;537465656c20436f74746f6e20417373696d696c61746564;7365697a6520546f77656c73205265616374697665;87759;74222;43604;68804
2;27379;436f6c6f7261646f20506c6173746963;736b7920626c7565;416d656c696f7261746564;67912;93572;49149;92103
3;77198;44697265637469766573;506c6173746963;636f6e63657074;15118;94585;81030;8417
4;75987;41766f6e;4173736f636961746520437573746f6d6572;726564756e64616e742047656f7267696120636f6e746578742d73656e736974697665;66754;44304;36148;76822
5;54487;426564666f72647368697265;4372656469742043617264204163636f756e74205465616d2d6f7269656e746564;546f6f6c732050726f6772616d;51151;40270;70073;91952
6;85562;486176656e;496e74656c6c6967656e7420527562626572204b6579626f617264207175616e74696679696e6720757365722d63656e74726963;5072696e636970616c;64374;74507;52548;56716
7;33139;4d616e61676572;6d6f6e69746f72;4d616365646f6e696120436865636b696e67204163636f756e74;39348;51219;96482;82274
8;57168;5365637572697479204b696473204e65772048616d707368697265;4c6567616379207265626f6f742053757065727669736f72;456c656374726f6e69637320526f75746520426561757479;97453;21460;22206;19486
9;47266;4c6963656e736564204772616e69746520476c6f766573;48545450204d6f6e6579204d61726b6574204163636f756e74;656d706f77657220417263686974656374206d61726f6f6e;54477;23568;98731;83251
10;79201;53757065727669736f7220417373697374616e74;48616e6463726166746564207472616e73666f726d;73796e65726769657320626c7565746f6f7468;50533;65970;70269;65252
