id;name;short_name;description;rarity;attribute;gain_exp;coin;sell_medal_id;plus_dribble;plus_shoot;plus_pass;plus_tackle;plus_block;plus_intercept;plus_speed;plus_power;plus_technique;plus_punching;plus_catching;thumbnail_assets_id;card_illust_assets_id;id_id
1;42616c6c2053796e657267697a6564204d756c74692d6368616e6e656c6c6564;626c756520414450206d657472696373;67656e6572617465206e617669676174696e6720417373697374616e74;38726;58446;30965;39056;3065;10959;15001;89544;56201;3546;15766;86318;73630;35996;3723;63933;25948;92219;7
2;4f7267616e6963;7061727365207472616e736d6974204772656e616461;4c656761637920526566696e6564204d6574616c20436865657365;2332;35400;17455;99672;98758;43450;36088;2446;82049;36261;37608;12778;84002;12144;96543;28153;43553;5337;6
3;436865636b696e67204163636f756e7420496d706c656d656e746174696f6e20436f6d70617469626c65;496e6372656469626c6520436f6e63726574652042696b652043616c69666f726e6961;506572736f6e616c204c6f616e204163636f756e74205343534920652d627573696e657373;55266;26490;64213;7639;41465;77846;90334;6981;36275;55669;12501;24787;14402;24344;89085;99072;98800;75677;3
4;5275626265722043616d627269646765736869726520616c61726d;55736162696c697479207365636f6e64617279;534d5320486f6e67204b6f6e67;32727;87970;70173;97980;43905;49376;28775;39064;15227;47193;52787;85273;59425;64546;56878;4477;11654;54216;6
5;436865657365;68617264776172652053756d6d6974;617578696c696172792070616e656c2059656e;56048;22992;6111;33790;65548;99817;46692;82541;46955;88390;37902;93705;92907;34093;24945;29707;31659;23406;10
6;776972656c65737320436f6d70757465727320526567696f6e616c;4275636b696e6768616d7368697265;54696d6f722d4c657374652048656172642049736c616e6420616e64204d63446f6e616c642049736c616e6473;71792;90852;20718;44136;15902;74637;65191;93025;29057;90757;97395;5695;45151;20570;11159;47690;68581;43155;4
7;536175736167657320706172746e65727368697073;4c616b652070696e6b204469737472696374;4865616c746820576f6f64656e2073796e74686573697a696e67;97803;69714;15794;35467;53551;88740;96633;97583;15658;55785;18630;56572;92681;29751;70568;58450;15196;43964;4
8;4572676f6e6f6d696320436f74746f6e2042616c6c;73616c6d6f6e204e69676572204d6f6e6579204d61726b6574204163636f756e74;53686972742047726f63657279;82131;83423;63665;47623;22932;98777;41843;43961;80144;64958;53870;5036;30015;65333;26718;85142;21761;94245;9
9;496f7761206861726420647269766520525353;496c6c696e6f6973204d6f75736520525353;47726f63657279207669727475616c204742;68603;68376;26799;31223;12315;90953;38214;67101;83333;64568;34782;55940;3425;4577;27428;93192;98994;62793;7
10;476c6f62616c2073796e74686573697a652041757374726961;7769746864726177616c;52686f64652049736c616e6420504e4720636f6e746578742d73656e736974697665;12122;97539;55883;99518;17650;7559;61036;93644;26352;28944;23096;68928;39918;33811;59319;96775;54531;10150;3
