id;name;rarity;effect_value;trigger_probability;target_card_parameter;effect_id;description;mtriggereffectrange_id
1;436c69666673204372656174697665206261636b2d656e64;96451;3813;60833;71948;33378;63616c63756c6174696e67;3
2;436f6d707574657220636170616369746f72;63895;45231;87894;73444;96192;48444420496e6372656469626c65204d6574616c204d6f757365;8
3;41726368697465637420646973696e7465726d656469617465;16988;67256;85293;69050;31746;4d6f6e6579204d61726b6574204163636f756e74;4
4;65766f6c76652070726f6772616d;36147;5164;69307;99624;1432;6172636869766520616461707465722073796e74686573697a65;4
5;696e766f69636520534452;65842;59930;60329;18710;41361;70726f64756374697a65204e6577204a65727365792048616e64637261667465642046726573682050616e7473;9
6;627269636b732d616e642d636c69636b732057617368696e67746f6e;93222;62898;27163;78984;74245;496e74656c6c6967656e74;6
7;435353204e65772043616c65646f6e6961;61625;29165;90763;79153;71536;4c6562616e65736520506f756e642047656f72676961207061796d656e74;9
8;4f7263686573747261746f7220617578696c6961727920647269766572;13554;32036;81708;19578;73599;70726f6772616d204578636c7573697665204e6174696f6e616c;1
9;547269706c652d6275666665726564;66302;50264;67371;65613;31332;4b696e6120646973696e7465726d656469617465;1
10;54756e6120484444;22269;29352;11291;14934;68220;746563686e6f6c6f6769657320626c7565746f6f7468;9
