id;effect_type;target_position_gk;target_position_fw;target_position_omf;target_position_dmf;target_position_df;target_attribute;target_nationality_group_id;target_team_group_id;target_character_group_id;target_formation_group_id;target_action_command
1;91452;84598;3618;31300;24366;50554;19371;65014;50229;32198;42970;4109
2;72903;49566;24241;1281;59449;95064;88385;79668;91067;19200;95878;28757
3;77326;98283;90598;37354;23453;78372;19758;44681;648;86409;70684;70375
4;93746;2291;18693;29438;63694;55799;74645;92617;92761;10202;64686;60116
5;97029;30217;34467;88932;34992;76516;54301;36970;38350;16710;142;1149
6;73177;62113;75171;40612;74697;31475;34502;98550;52228;46614;35997;74983
7;1603;17741;56244;1345;12376;41756;8004;66566;75549;50659;950;89046
8;95900;43397;51525;31100;98301;91604;5799;40680;58352;26964;34932;9766
9;84348;79330;36122;82509;26048;3329;85755;35864;37465;74987;1683;94638
10;39028;37781;65452;87205;25435;39372;43198;17949;5671;344;58809;33018
