id;step;order_num;position;message
1;79572;988;43039;47726f76652053435349
2;89593;52912;23868;626c61636b20426f7264657273
3;90027;15167;32235;7769746864726177616c
4;70815;60790;77867;4d6f6e74616e61207265696e7465726d656469617465
5;96701;95627;61133;696e74657266616365206f75742d6f662d7468652d626f7820434650204672616e63
6;25779;49938;24509;70726f746f636f6c20546f676f
7;68327;24643;26943;486f6d65204c6f616e204163636f756e74
8;44393;84589;59696;726567696f6e616c20627573
9;80592;45440;25991;696e7465726e657420736f6c7574696f6e20696e766f696365
10;69558;72550;70409;416c67657269616e2044696e617220656e766973696f6e656572206f7074696d697a65
