id;name;short_name;menu_name;model_id;thumbnail_asset_name;uniform_type;is_default;order_num;description
1;41766f6e;43726f617469616e204b756e6120527573746963204272616e64;546572726163652053616c616420626573742d6f662d6272656564;81997;6f7263686573747261746520436865636b696e67204163636f756e74204275636b696e6768616d7368697265;71853;7479;15616;44796e616d696320696e766f69636520636f6e74656e742d6261736564
2;436f6e676f6c657365204672616e63;6f70746963616c;536869727420476f7572646520555320446f6c6c6172;22448;526566696e6564204772616e69746520546f77656c7320486174207472616e736d6974746572;23756;74933;34247;43616c69666f726e6961207265616c2d74696d65
3;4261636f6e2047616d6573;417765736f6d65207375636365737320737570706c792d636861696e73;4964656e7469747920696d7061637466756c;72452;6861726477617265;116;38225;37974;6d617472697820486174
4;4d616e6167657220617070726f616368;536176696e6773204163636f756e74;656e766973696f6e656572206c65766572616765205461737479;43266;6f70656e2d736f7572636520576f6f64656e;29611;49260;88643;696d706c656d656e746174696f6e207472616e736d6974746572
5;4c616e6520476f7267656f75732046726573682050616e7473;57617368696e67746f6e2066726f6e742d656e64;4572676f6e6f6d6963205275626265722053616c6164;57573;6f7263686964204d6561646f7773;45944;87256;62287;686f6d6f67656e656f75732057617368696e67746f6e
6;73797374656d;576f6f64656e;7669727475616c;83585;496e646f6e65736961;55445;96198;63193;617263686974656374757265732050616c6c616469756d
7;5072696e636970616c;627970617373207061796d656e742070726f746f636f6c;6e617669676174696e67;57790;4b69647320436f6f7264696e61746f72;47219;61328;39359;7574696c697a6520636f6e74656e7420526576657273652d656e67696e6565726564
8;5765737465726e20536168617261;73657879205a616d626961;536c65656b204772616e69746520476c6f76657320536c65656b20436f6d7075746572;38303;436869636b656e;96368;91746;94678;726f62757374207769746864726177616c2041666768616e697374616e
9;426f72646572732072656420504e47;6261636b207570;556e646572706173732053616c6164;73798;496e766573746f7220546173747920436f74746f6e20476c6f766573;99681;32461;73267;496e746572616374696f6e73
10;6f76657272696465;4368697073;6d6f6e69746f72;85052;536c65656b204772616e6974652042616c6c;69859;82919;54294;6465706f736974
