id;world_id;jhi_number;name;image_path;character_thumbnail_path;difficulty;stage_unlock_pattern;story_only;first_half_npc_deck_id;first_half_environment_id;second_half_npc_deck_id;second_half_environment_id;extra_first_half_npc_deck_id;extra_second_half_npc_deck_id;consume_ap;kick_off_type;match_minute;enable_extra;enable_pk;ai_level;start_at_second_half;start_score;start_score_opponent;condition_id;option_id;deck_condition_id;mweeklyquestworld_id
1;81294;53782;5665726d6f6e7420626c656564696e672d65646765204f7574646f6f7273;534d5450;48656172642049736c616e6420616e64204d63446f6e616c642049736c616e64732070726f6772616d6d696e67;30040;71516;81547;92824;42549;79697;9669;60929;97791;11585;51193;29148;62947;96884;67079;31942;36241;9325;74752;70755;87026;8
2;38718;28545;70726963696e67207374727563747572652045787072657373776179;70726f6a656374;6d6174726978;85376;80093;80263;61083;66140;17978;32487;54636;51631;83493;44482;30272;33888;83265;84813;78462;48350;2174;83272;23945;10521;6
3;14102;71761;484444207061796d656e742073796e74686573697a65;69766f7279;626c7565204d616c61797369616e2052696e6767697420546f77656c73;9105;91418;25110;52618;28492;13706;64720;57275;16088;9132;93030;20379;55436;3110;49093;51329;43469;8453;56660;46939;2244;10
4;99008;71976;536d616c6c205065727365766572696e67;652d627573696e65737320426f6f6b7320466f7277617264;4e65772048616d707368697265;54609;96179;95781;23760;74764;25417;85011;42;35399;6635;55436;4488;61540;82265;32158;83673;57024;72670;23665;35274;14337;9
5;37397;53977;73796e6572677920766f7274616c732047656e657269632046726f7a656e20436f6d7075746572;4c6567616379204e6f7274682044616b6f7461;506127616e676120436f6d707574657273204d616c617769;82171;96047;4451;8963;95616;68304;42415;96226;28989;30057;53182;86144;80121;93365;47475;74708;64510;23132;49991;33400;63127;1
6;13803;83145;6861636b696e67;6576656e2d6b65656c65642043656e7472616c697a6564;636f6e6e65637420647269766572;91260;3486;73053;9058;82869;35308;74595;618;63068;49398;42696;36066;90211;55544;65096;72082;39835;25097;8346;15708;29070;3
7;54372;176;436f6e6372657465;437970727573204368697073206469676974616c;6d756c74692d627974652070616e656c;32213;32457;33073;41008;56355;80821;85237;77015;38618;22297;6117;61617;37441;24345;20731;98824;93920;95212;69727;56326;5083;7
8;29298;80143;7472616e736d6974746572;5072696e636970616c2052756262657220652d636f6d6d65726365;6861636b696e672044616c6173692063617264;23416;3005;37126;3627;14730;95279;50576;57109;45572;30664;99716;37867;61120;71484;78644;36651;33401;22776;83154;10183;61508;8
9;69699;18056;417765736f6d6520436f74746f6e2054756e61;576973636f6e73696e;506572736f6e616c204c6f616e204163636f756e7420436869707320436869636b656e;56982;97191;35656;83247;77426;27083;54580;42743;43333;23839;96298;419;39072;18804;40061;406;66577;71983;80947;42553;62621;4
10;69861;76172;696e646578696e67204f666669636572;4b6970206f72616e6765;55706772616461626c65;21292;30601;40918;19663;99178;26814;85;33044;19720;47454;18839;6935;71711;5267;35248;29291;45726;29576;14862;11764;40499;5
