id;stage_id;exp;coin;guild_point;clear_reward_group_id;clear_reward_weight_id;achievement_reward_group_id;coop_group_id;special_reward_group_id;special_reward_amount;goal_reward_group_id
1;10319;28402;53304;2605;9793;88572;79050;88601;56660;20918;72396
2;16287;41851;54729;38149;63075;9820;95754;52385;37734;51450;61820
3;46810;87818;74051;44995;83250;12234;75078;37744;14386;13656;62205
4;1663;8032;75155;69462;23842;38183;200;13249;87243;86205;44378
5;61400;23885;35472;26278;3072;24053;53731;19455;92322;84122;59637
6;17033;97165;56185;13645;7732;56830;94952;79812;60331;52554;90315
7;9106;39787;58288;81067;61173;85365;72870;70294;76121;9294;77077
8;1608;66344;16855;21581;11809;40423;72513;77612;55700;95342;52595
9;7894;25286;53553;15460;31252;20654;22539;40027;50581;74014;60608
10;25451;977;69861;78020;49151;81988;88544;96551;23291;18064;45085
