id;set_id;jhi_number;name;image_path;description;stage_unlock_pattern;arousal_banner;special_reward_content_type;special_reward_content_id;is_enable_coop
1;51573;18206;52657365617263682070726f6772616d206e61766967617465;6c656164696e672d65646765206d6f727068;65636f2d63656e7472696320426f726465727320506c617a61;43340;4275636b696e6768616d7368697265;98702;54711;29835
2;44678;61526;4572676f6e6f6d696320547261696c2073616c6d6f6e;4d6f6e6579204d61726b6574204163636f756e742048545450;67656e65726174696e6720536f6674206d61676e65746963;47717;706172616469676d732062616e647769647468;59677;82942;29537
3;5967;5170;7472616e736d6974;4f7574646f6f7273206661756c742d746f6c6572616e74;706978656c204163636f756e7473;65115;636f6e76657267656e6365204f7265676f6e;54344;49862;58482
4;60849;14681;59656e20436f74746f6e20426f6f6b73;436865636b696e67204163636f756e742053686f6573;53415320496e667261737472756374757265;66447;4275636b696e6768616d7368697265;35228;26971;49092
5;73303;19035;652d627573696e6573732063697263756974;626c61636b;6261636b2075702042616c6c204469737472696275746564;1754;6d6f6e69746f72;61790;69342;69438
6;79235;21432;4361796d616e2049736c616e647320446f6c6c6172;7769746864726177616c20636f6e74656e74;4e657720596f726b2041766f6e20696e766f696365;18097;4e6f72666f6c6b2049736c616e642044616c652046726565776179;46938;39317;88147
7;27992;81862;4175746f204c6f616e204163636f756e74;6465706f7369742050656e6e73796c76616e6961204d756c74692d746965726564;636f6c6c61626f726174696f6e20536f6674205461737479;4488;436869707320426162792070726f6772616d;24861;20381;36874
8;32456;82271;4d6574616c;6d6f7469766174696e6720636f7079696e67206c656164696e672d65646765;54617374792032342f37;14034;7261646963616c20496e74656c6c6967656e74205275626265722048617420506c6173746963;75673;77190;21817
9;62248;79797;696e6469676f2070726f6772616d;7175616e74696679;526566696e6564204772616e697465204368656573652053686972742043616d6272696467657368697265;14135;73797374656d7320527573746963;21995;98044;59507
10;70398;97666;43656e74657273204c696c616e67656e692053616e204d6172696e6f;436f6e7665727469626c65204d61726b732062696675726361746564;52414d20766f7274616c73;61433;4775616d;37888;16260;38781
